"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"167",1,0,5.66,5,1,0,0
"168",1,0,5.66,6,1,0,0
"169",1,0,6.06,1,1,0,1
"170",1,0,6.06,2,1,0,1
"171",1,0,6.06,3,1,0,0
"172",1,0,6.06,4,1,0,0
"173",1,0,6.06,5,1,0,0
"174",1,0,6.06,6,1,0,0
"175",1,0,4.74,1,1,0,0
"176",1,0,4.74,2,1,0,0
"177",1,0,4.74,3,1,0,0
"178",1,0,4.74,4,1,0,0
"179",1,0,4.74,5,1,0,0
"180",1,0,4.74,6,1,0,0
"181",1,0,5.44,1,1,0,1
"182",1,0,5.44,2,1,0,0
"183",1,0,5.44,3,1,0,0
"184",1,0,5.44,4,1,0,0
"185",1,0,5.44,5,1,0,0
"186",1,0,5.44,6,1,0,0
"187",1,0,5.98,1,1,0,1
"188",1,0,5.98,2,1,0,0
"189",1,0,5.98,3,1,0,0
"190",1,0,5.98,4,1,0,0
"191",1,0,5.98,5,1,0,0
"192",1,0,5.98,6,1,0,0
"193",1,0,4.69,1,1,0,1
"194",1,0,4.69,2,1,0,0
"195",1,0,4.69,3,1,0,0
"196",1,0,4.69,4,1,0,0
"197",1,0,4.69,5,1,0,0
"198",1,0,4.69,6,1,0,0
"199",1,0,4.04,1,1,0,0
"200",1,0,4.04,2,1,0,0
"201",1,0,4.04,3,1,0,0
"202",1,0,4.04,4,1,0,0
"203",1,0,4.04,5,1,0,0
"204",1,0,4.04,6,1,0,0
"205",1,0,5.63,1,1,0,0
"206",1,0,5.63,2,1,0,0
"207",1,0,5.63,3,1,0,0
"208",1,0,5.63,4,1,0,0
"209",1,0,5.63,5,1,0,0
"210",1,0,5.63,6,1,0,0
"211",1,0,3.87,1,1,0,0
"212",1,0,3.87,2,1,0,0
"213",1,0,3.87,3,1,0,0
"214",1,0,3.87,4,1,0,0
"215",1,0,3.87,5,1,0,0
"216",1,0,3.87,6,1,0,0
"217",1,0,3.5,1,1,0,0
"218",1,0,3.5,2,1,0,0
"219",1,0,3.5,3,1,0,0
"220",1,0,3.5,4,1,0,0
"221",1,0,3.5,5,1,0,0
"222",1,0,3.5,6,1,0,0
"223",1,0,4.61,1,1,0,1
"224",1,0,4.61,2,1,0,0
"225",1,0,4.61,3,1,0,0
"226",1,0,4.61,4,1,0,0
"227",1,0,4.61,5,1,0,0
"228",1,0,4.61,6,1,0,0
"229",1,0,4.25,1,1,0,1
"230",1,0,4.25,2,1,0,0
"231",1,0,4.25,3,1,0,0
"232",1,0,4.25,4,1,0,0
"233",1,0,4.25,5,1,0,0
"234",1,0,4.25,6,1,0,0
"235",1,0,5.73,1,1,0,1
"236",1,0,5.73,2,1,0,1
"237",1,0,5.73,3,1,0,1
"238",1,0,5.73,4,1,0,0
"239",1,0,5.73,5,1,0,0
"240",1,0,5.73,6,1,0,0
"241",2,0,6.78,1,1,0,1
"242",2,0,6.78,2,1,0,1
"243",2,0,6.78,3,1,0,1
"244",2,0,6.78,4,1,0,1
"245",2,0,6.78,5,1,0,1
"246",2,0,6.78,6,1,0,1
"247",2,0,4.28,1,1,0,1
"248",2,0,4.28,2,1,0,1
"249",2,0,4.28,3,1,0,1
"250",2,0,4.28,4,1,0,1
"251",2,0,4.28,5,1,0,1
"252",2,0,4.28,6,1,0,1
"253",2,0,4.9,1,1,0,1
"254",2,0,4.9,2,1,0,1
"255",2,0,4.9,3,1,0,1
"256",2,0,4.9,4,1,0,1
"257",2,0,4.9,5,1,0,1
"258",2,0,4.9,6,1,0,1
"259",2,0,4.91,1,1,0,1
"260",2,0,4.91,2,1,0,1
"261",2,0,4.91,3,1,0,1
"262",2,0,4.91,4,1,0,1
"263",2,0,4.91,5,1,0,1
"264",2,0,4.91,6,1,0,1
"265",2,0,3.9,1,1,0,1
"266",2,0,3.9,2,1,0,1
"267",2,0,3.9,3,1,0,1
"268",2,0,3.9,4,1,0,1
"269",2,0,3.9,5,1,0,1
"270",2,0,3.9,6,1,0,1
"271",2,0,4.79,1,1,0,1
"272",2,0,4.79,2,1,0,1
"273",2,0,4.79,3,1,0,1
"274",2,0,4.79,4,1,0,1
"275",2,0,4.79,5,1,0,1
"276",2,0,4.79,6,1,0,1
"277",2,0,5.81,1,1,0,1
"278",2,0,5.81,2,1,0,1
"279",2,0,5.81,3,1,0,1
"280",2,0,5.81,4,1,0,1
"281",2,0,5.81,5,1,0,1
"282",2,0,5.81,6,1,0,1
"283",2,0,6.02,1,1,0,1
"284",2,0,6.02,2,1,0,1
"285",2,0,6.02,3,1,0,1
"286",2,0,6.02,4,1,0,1
"287",2,0,6.02,5,1,0,1
"288",2,0,6.02,6,1,0,1
"289",2,0,4.2,1,1,0,1
"290",2,0,4.2,2,1,0,1
"291",2,0,4.2,3,1,0,1
"292",2,0,4.2,4,1,0,1
"293",2,0,4.2,5,1,0,1
"294",2,0,4.2,6,1,0,1
"295",2,0,5.18,1,1,0,1
"296",2,0,5.18,2,1,0,1
"297",2,0,5.18,3,1,0,1
"298",2,0,5.18,4,1,0,1
"299",2,0,5.18,5,1,0,1
"300",2,0,5.18,6,1,0,1
"301",2,0,4.53,1,1,0,1
"302",2,0,4.53,2,1,0,1
"303",2,0,4.53,3,1,0,1
"304",2,0,4.53,4,1,0,1
"305",2,0,4.53,5,1,0,1
"306",2,0,4.53,6,1,0,1
"307",2,0,4.7,1,1,0,1
"308",2,0,4.7,2,1,0,1
"309",2,0,4.7,3,1,0,1
"310",2,0,4.7,4,1,0,1
"311",2,0,4.7,5,1,0,1
"312",2,0,4.7,6,1,0,1
"313",2,0,5.49,1,1,0,1
"314",2,0,5.49,2,1,0,1
"315",2,0,5.49,3,1,0,1
"316",2,0,5.49,4,1,0,1
"317",2,0,5.49,5,1,0,1
"318",2,0,5.49,6,1,0,1
"319",2,0,5.68,1,1,0,1
"320",2,0,5.68,2,1,0,1
"321",2,0,5.68,3,1,0,1
"322",2,0,5.68,4,1,0,1
"323",2,0,5.68,5,1,0,1
"324",2,0,5.68,6,1,0,1
"325",2,0,4.42,1,1,0,1
"326",2,0,4.42,2,1,0,1
"327",2,0,4.42,3,1,0,1
"328",2,0,4.42,4,1,0,1
"329",2,0,4.42,5,1,0,1
"330",2,0,4.42,6,1,0,1
"331",2,0,3.37,1,1,0,1
"332",2,0,3.37,2,1,0,1
"333",2,0,3.37,3,1,0,1
"334",2,0,3.37,4,1,0,1
"335",2,0,3.37,5,1,0,1
"336",2,0,3.37,6,1,0,1
"337",2,0,5.63,1,1,0,1
"338",2,0,5.63,2,1,0,1
"339",2,0,5.63,3,1,0,1
"340",2,0,5.63,4,1,0,1
"341",2,0,5.63,5,1,0,1
"342",2,0,5.63,6,1,0,1
"343",2,0,4.39,1,1,0,1
"344",2,0,4.39,2,1,0,1
"345",2,0,4.39,3,1,0,1
"346",2,0,4.39,4,1,0,1
"347",2,0,4.39,5,1,0,1
"348",2,0,4.39,6,1,0,1
"349",2,0,5.24,1,1,0,1
"350",2,0,5.24,2,1,0,1
"351",2,0,5.24,3,1,0,1
"352",2,0,5.24,4,1,0,1
"353",2,0,5.24,5,1,0,1
"354",2,0,5.24,6,1,0,1
"355",2,0,5.52,1,1,0,1
"356",2,0,5.52,2,1,0,1
"357",2,0,5.52,3,1,0,1
"358",2,0,5.52,4,1,0,1
"359",2,0,5.52,5,1,0,1
"360",2,0,5.52,6,1,0,1
"361",2,0,4.59,1,1,0,1
"362",2,0,4.59,2,1,0,1
"363",2,0,4.59,3,1,0,1
"364",2,0,4.59,4,1,0,1
"365",2,0,4.59,5,1,0,1
"366",2,0,4.59,6,1,0,1
"367",2,0,5.09,1,1,0,1
"368",2,0,5.09,2,1,0,1
"369",2,0,5.09,3,1,0,1
"370",2,0,5.09,4,1,0,1
"371",2,0,5.09,5,1,0,1
"372",2,0,5.09,6,1,0,1
"373",2,0,5.66,1,1,0,1
"374",2,0,5.66,2,1,0,1
"375",2,0,5.66,3,1,0,1
"376",2,0,5.66,4,1,0,1
"377",2,0,5.66,5,1,0,1
"378",2,0,5.66,6,1,0,1
"379",2,0,5.43,1,1,0,1
"380",2,0,5.43,2,1,0,1
"381",2,0,5.43,3,1,0,1
"382",2,0,5.43,4,1,0,1
"383",2,0,5.43,5,1,0,1
"384",2,0,5.43,6,1,0,1
"385",2,0,4.26,1,1,0,1
"386",2,0,4.26,2,1,0,1
"387",2,0,4.26,3,1,0,1
"388",2,0,4.26,4,1,0,1
"389",2,0,4.26,5,1,0,1
"390",2,0,4.26,6,1,0,1
"391",2,0,6.06,1,1,0,1
"392",2,0,6.06,2,1,0,1
"393",2,0,6.06,3,1,0,1
"394",2,0,6.06,4,1,0,1
"395",2,0,6.06,5,1,0,1
"396",2,0,6.06,6,1,0,1
"397",2,0,6.22,1,1,0,1
"398",2,0,6.22,2,1,0,1
"399",2,0,6.22,3,1,0,1
"400",2,0,6.22,4,1,0,1
"401",2,0,6.22,5,1,0,1
"402",2,0,6.22,6,1,0,1
"403",2,0,4.19,1,1,0,1
"404",2,0,4.19,2,1,0,1
"405",2,0,4.19,3,1,0,1
"406",2,0,4.19,4,1,0,1
"407",2,0,4.19,5,1,0,1
"408",2,0,4.19,6,1,0,1
"409",2,0,6.01,1,1,0,1
"410",2,0,6.01,2,1,0,1
"411",2,0,6.01,3,1,0,1
"412",2,0,6.01,4,1,0,1
"413",2,0,6.01,5,1,0,1
"414",2,0,6.01,6,1,0,1
"415",2,0,3.8,1,1,0,1
"416",2,0,3.8,2,1,0,1
"417",2,0,3.8,3,1,0,1
"418",2,0,3.8,4,1,0,1
"419",2,0,3.8,5,1,0,1
"420",2,0,3.8,6,1,0,1
"421",2,0,3.98,1,1,0,1
"422",2,0,3.98,2,1,0,1
"423",2,0,3.98,3,1,0,1
"424",2,0,3.98,4,1,0,1
"425",2,0,3.98,5,1,0,1
"426",2,0,3.98,6,1,0,1
"427",2,0,4.6,1,1,0,1
"428",2,0,4.6,2,1,0,1
"429",2,0,4.6,3,1,0,1
"430",2,0,4.6,4,1,0,1
"431",2,0,4.6,5,1,0,1
"432",2,0,4.6,6,1,0,1
"433",2,0,5.03,1,1,0,1
"434",2,0,5.03,2,1,0,1
"435",2,0,5.03,3,1,0,1
"436",2,0,5.03,4,1,0,1
"437",2,0,5.03,5,1,0,1
"438",2,0,5.03,6,1,0,1
"439",2,0,4.86,1,1,0,1
"440",2,0,4.86,2,1,0,1
"441",2,0,4.86,3,1,0,1
"442",2,0,4.86,4,1,0,1
"443",2,0,4.86,5,1,0,1
"444",2,0,4.86,6,1,0,1
"445",2,0,4.64,1,1,0,1
"446",2,0,4.64,2,1,0,1
"447",2,0,4.64,3,1,0,1
"448",2,0,4.64,4,1,0,1
"449",2,0,4.64,5,1,0,1
"450",2,0,4.64,6,1,0,1
"451",2,0,4.4,1,1,0,1
"452",2,0,4.4,2,1,0,1
"453",2,0,4.4,3,1,0,1
"454",2,0,4.4,4,1,0,1
"455",2,0,4.4,5,1,0,1
"456",2,0,4.4,6,1,0,1
"457",2,0,4.73,1,1,0,1
"458",2,0,4.73,2,1,0,1
"459",2,0,4.73,3,1,0,1
"460",2,0,4.73,4,1,0,1
"461",2,0,4.73,5,1,0,1
"462",2,0,4.73,6,1,0,1
"463",2,0,4.63,1,1,0,1
"464",2,0,4.63,2,1,0,1
"465",2,0,4.63,3,1,0,1
"466",2,0,4.63,4,1,0,1
"467",2,0,4.63,5,1,0,1
"468",2,0,4.63,6,1,0,1
"469",2,0,7.77,1,1,0,1
"470",2,0,7.77,2,1,0,1
"471",2,0,7.77,3,1,0,1
"472",2,0,7.77,4,1,0,1
"473",2,0,7.77,5,1,0,1
"474",2,0,7.77,6,1,0,1
"475",2,0,3.56,1,1,0,1
"476",2,0,3.56,2,1,0,1
"477",2,0,3.56,3,1,0,1
"478",2,0,3.56,4,1,0,1
"479",2,0,3.56,5,1,0,1
"480",2,0,3.56,6,1,0,1
"481",3,0,5.11,1,1,0,1
"482",3,0,5.11,2,1,0,1
"483",3,0,5.11,3,1,0,1
"484",3,0,5.11,4,1,0,1
"485",3,0,5.11,5,1,0,1
"486",3,0,5.11,6,1,0,1
"487",3,0,5.88,1,1,0,1
"488",3,0,5.88,2,1,0,1
"489",3,0,5.88,3,1,0,1
"490",3,0,5.88,4,1,0,1
"491",3,0,5.88,5,1,0,1
"492",3,0,5.88,6,1,0,1
"493",3,0,5.53,1,1,0,1
"494",3,0,5.53,2,1,0,1
"495",3,0,5.53,3,1,0,1
"496",3,0,5.53,4,1,0,1
"497",3,0,5.53,5,1,0,1
"498",3,0,5.53,6,1,0,1
"499",3,0,5.24,1,1,0,1
"500",3,0,5.24,2,1,0,1
"501",3,0,5.24,3,1,0,1
"502",3,0,5.24,4,1,0,1
"503",3,0,5.24,5,1,0,1
"504",3,0,5.24,6,1,0,1
"505",3,0,4.29,1,1,0,1
"506",3,0,4.29,2,1,0,1
"507",3,0,4.29,3,1,0,1
"508",3,0,4.29,4,1,0,1
"509",3,0,4.29,5,1,0,1
"510",3,0,4.29,6,1,0,0
"511",3,0,3.69,1,1,0,1
"512",3,0,3.69,2,1,0,1
"513",3,0,3.69,3,1,0,1
"514",3,0,3.69,4,1,0,1
"515",3,0,3.69,5,1,0,0
"516",3,0,3.69,6,1,0,0
"517",3,0,5.18,1,1,0,1
"518",3,0,5.18,2,1,0,1
"519",3,0,5.18,3,1,0,1
"520",3,0,5.18,4,1,0,1
"521",3,0,5.18,5,1,0,1
"522",3,0,5.18,6,1,0,1
"523",3,0,4.39,1,1,0,1
"524",3,0,4.39,2,1,0,1
"525",3,0,4.39,3,1,0,1
"526",3,0,4.39,4,1,0,1
"527",3,0,4.39,5,1,0,1
"528",3,0,4.39,6,1,0,0
"529",3,0,4.41,1,1,0,1
"530",3,0,4.41,2,1,0,1
"531",3,0,4.41,3,1,0,1
"532",3,0,4.41,4,1,0,1
"533",3,0,4.41,5,1,0,0
"534",3,0,4.41,6,1,0,0
"535",3,0,5.82,1,1,0,1
"536",3,0,5.82,2,1,0,1
"537",3,0,5.82,3,1,0,1
"538",3,0,5.82,4,1,0,1
"539",3,0,5.82,5,1,0,1
"540",3,0,5.82,6,1,0,1
"541",3,0,4.12,1,1,0,1
"542",3,0,4.12,2,1,0,1
"543",3,0,4.12,3,1,0,1
"544",3,0,4.12,4,1,0,1
"545",3,0,4.12,5,1,0,0
"546",3,0,4.12,6,1,0,0
"547",3,0,3.46,1,1,0,1
"548",3,0,3.46,2,1,0,1
"549",3,0,3.46,3,1,0,1
"550",3,0,3.46,4,1,0,1
"551",3,0,3.46,5,1,0,0
"552",3,0,3.46,6,1,0,0
"553",3,0,4.71,1,1,0,1
"554",3,0,4.71,2,1,0,1
"555",3,0,4.71,3,1,0,1
"556",3,0,4.71,4,1,0,1
"557",3,0,4.71,5,1,0,1
"558",3,0,4.71,6,1,0,0
"559",3,0,3.57,1,1,0,1
"560",3,0,3.57,2,1,0,1
"561",3,0,3.57,3,1,0,1
"562",3,0,3.57,4,1,0,1
"563",3,0,3.57,5,1,0,0
"564",3,0,3.57,6,1,0,0
"565",3,0,5.08,1,1,0,1
"566",3,0,5.08,2,1,0,1
"567",3,0,5.08,3,1,0,1
"568",3,0,5.08,4,1,0,1
"569",3,0,5.08,5,1,0,1
"570",3,0,5.08,6,1,0,0
"571",3,0,6.64,1,1,0,1
"572",3,0,6.64,2,1,0,1
"573",3,0,6.64,3,1,0,1
"574",3,0,6.64,4,1,0,1
"575",3,0,6.64,5,1,0,1
"576",3,0,6.64,6,1,0,1
"577",3,0,4.32,1,1,0,1
"578",3,0,4.32,2,1,0,1
"579",3,0,4.32,3,1,0,1
"580",3,0,4.32,4,1,0,1
"581",3,0,4.32,5,1,0,1
"582",3,0,4.32,6,1,0,0
"583",3,0,5.77,1,1,0,1
"584",3,0,5.77,2,1,0,1
"585",3,0,5.77,3,1,0,1
"586",3,0,5.77,4,1,0,1
"587",3,0,5.77,5,1,0,1
"588",3,0,5.77,6,1,0,1
"589",3,0,5.47,1,1,0,1
"590",3,0,5.47,2,1,0,1
"591",3,0,5.47,3,1,0,1
"592",3,0,5.47,4,1,0,1
"593",3,0,5.47,5,1,0,1
"594",3,0,5.47,6,1,0,1
"595",3,0,4.8,1,1,0,1
"596",3,0,4.8,2,1,0,1
"597",3,0,4.8,3,1,0,1
"598",3,0,4.8,4,1,0,1
"599",3,0,4.8,5,1,0,1
"600",3,0,4.8,6,1,0,0
"601",3,0,6.74,1,1,0,1
"602",3,0,6.74,2,1,0,1
"603",3,0,6.74,3,1,0,1
"604",3,0,6.74,4,1,0,1
"605",3,0,6.74,5,1,0,1
"606",3,0,6.74,6,1,0,1
"607",3,0,5.35,1,1,0,1
"608",3,0,5.35,2,1,0,1
"609",3,0,5.35,3,1,0,1
"610",3,0,5.35,4,1,0,1
"611",3,0,5.35,5,1,0,1
"612",3,0,5.35,6,1,0,1
"613",3,0,6.79,1,1,0,1
"614",3,0,6.79,2,1,0,1
"615",3,0,6.79,3,1,0,1
"616",3,0,6.79,4,1,0,1
"617",3,0,6.79,5,1,0,1
"618",3,0,6.79,6,1,0,1
"619",3,0,2.22,1,1,0,1
"620",3,0,2.22,2,1,0,1
"621",3,0,2.22,3,1,0,0
"622",3,0,2.22,4,1,0,0
"623",3,0,2.22,5,1,0,0
"624",3,0,2.22,6,1,0,0
"625",3,0,5.55,1,1,0,1
"626",3,0,5.55,2,1,0,1
"627",3,0,5.55,3,1,0,1
"628",3,0,5.55,4,1,0,1
"629",3,0,5.55,5,1,0,1
"630",3,0,5.55,6,1,0,1
"631",3,0,3.89,1,1,0,1
"632",3,0,3.89,2,1,0,1
"633",3,0,3.89,3,1,0,1
"634",3,0,3.89,4,1,0,1
"635",3,0,3.89,5,1,0,1
"636",3,0,3.89,6,1,0,0
"637",3,0,6.38,1,1,0,1
"638",3,0,6.38,2,1,0,1
"639",3,0,6.38,3,1,0,1
"640",3,0,6.38,4,1,0,1
"641",3,0,6.38,5,1,0,1
"642",3,0,6.38,6,1,0,1
"643",3,0,4.31,1,1,0,1
"644",3,0,4.31,2,1,0,1
"645",3,0,4.31,3,1,0,1
"646",3,0,4.31,4,1,0,1
"647",3,0,4.31,5,1,0,1
"648",3,0,4.31,6,1,0,0
"649",3,0,5.29,1,1,0,1
"650",3,0,5.29,2,1,0,1
"651",3,0,5.29,3,1,0,1
"652",3,0,5.29,4,1,0,1
"653",3,0,5.29,5,1,0,1
"654",3,0,5.29,6,1,0,1
"655",3,0,4.18,1,1,0,1
"656",3,0,4.18,2,1,0,1
"657",3,0,4.18,3,1,0,1
"658",3,0,4.18,4,1,0,1
"659",3,0,4.18,5,1,0,0
"660",3,0,4.18,6,1,0,0
"661",3,0,6.63,1,1,0,1
"662",3,0,6.63,2,1,0,1
"663",3,0,6.63,3,1,0,1
"664",3,0,6.63,4,1,0,1
"665",3,0,6.63,5,1,0,1
"666",3,0,6.63,6,1,0,1
"667",3,0,4.64,1,1,0,1
"668",3,0,4.64,2,1,0,1
"669",3,0,4.64,3,1,0,1
"670",3,0,4.64,4,1,0,1
"671",3,0,4.64,5,1,0,1
"672",3,0,4.64,6,1,0,0
"673",3,0,3.77,1,1,0,1
"674",3,0,3.77,2,1,0,1
"675",3,0,3.77,3,1,0,1
"676",3,0,3.77,4,1,0,1
"677",3,0,3.77,5,1,0,0
"678",3,0,3.77,6,1,0,0
"679",3,0,5.67,1,1,0,1
"680",3,0,5.67,2,1,0,1
"681",3,0,5.67,3,1,0,1
"682",3,0,5.67,4,1,0,1
"683",3,0,5.67,5,1,0,1
"684",3,0,5.67,6,1,0,1
"685",3,0,4.49,1,1,0,1
"686",3,0,4.49,2,1,0,1
"687",3,0,4.49,3,1,0,1
"688",3,0,4.49,4,1,0,1
"689",3,0,4.49,5,1,0,1
"690",3,0,4.49,6,1,0,0
"691",3,0,3.41,1,1,0,1
"692",3,0,3.41,2,1,0,1
"693",3,0,3.41,3,1,0,1
"694",3,0,3.41,4,1,0,1
"695",3,0,3.41,5,1,0,0
"696",3,0,3.41,6,1,0,0
"697",3,0,5.37,1,1,0,1
"698",3,0,5.37,2,1,0,1
"699",3,0,5.37,3,1,0,1
"700",3,0,5.37,4,1,0,1
"701",3,0,5.37,5,1,0,1
"702",3,0,5.37,6,1,0,1
"703",3,0,4.94,1,1,0,1
"704",3,0,4.94,2,1,0,1
"705",3,0,4.94,3,1,0,1
"706",3,0,4.94,4,1,0,1
"707",3,0,4.94,5,1,0,1
"708",3,0,4.94,6,1,0,0
"709",3,0,6.05,1,1,0,1
"710",3,0,6.05,2,1,0,1
"711",3,0,6.05,3,1,0,1
"712",3,0,6.05,4,1,0,1
"713",3,0,6.05,5,1,0,1
"714",3,0,6.05,6,1,0,1
"715",3,0,4.9,1,1,0,1
"716",3,0,4.9,2,1,0,1
"717",3,0,4.9,3,1,0,1
"718",3,0,4.9,4,1,0,1
"719",3,0,4.9,5,1,0,1
"720",3,0,4.9,6,1,0,0
"721",4,1,5.51,1,1,0,0
"722",4,1,5.51,2,1,0,0
"723",4,1,5.51,3,1,0,0
"724",4,1,5.51,4,1,0,0
"725",4,1,5.51,5,1,0,0
"726",4,1,5.51,6,1,0,0
"727",4,1,6.03,1,1,0,0
"728",4,1,6.03,2,1,0,0
"729",4,1,6.03,3,1,0,0
"730",4,1,6.03,4,1,0,0
"731",4,1,6.03,5,1,0,0
"732",4,1,6.03,6,1,0,0
"733",4,1,5.19,1,1,0,0
