Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
12,1,-10,365,-10,0,1
12,1,-12,365,-10,0,0
12,1,-14,365,-10,0,0
12,1,-16,365,-10,0,0
12,1,-18,365,-10,0,0
13,1,2,365,10,0,0
13,1,4,365,10,0,0
13,1,6,365,10,0,0
13,1,8,365,10,0,0
13,1,10,365,10,0,0
13,1,12,365,10,0,0
13,1,14,365,10,0,0
13,1,16,365,10,0,0
13,1,18,365,10,0,0
13,1,-2,365,-10,0,0
13,1,-4,365,-10,0,0
13,1,-6,365,-10,0,0
13,1,-8,365,-10,0,0
13,1,-10,365,-10,0,0
13,1,-12,365,-10,0,0
13,1,-14,365,-10,0,0
13,1,-16,365,-10,0,0
13,1,-18,365,-10,0,0
14,1,2,365,10,0,0
14,1,4,365,10,0,0
14,1,6,365,10,0,0
14,1,8,365,10,0,0
14,1,10,365,10,0,0
14,1,12,365,10,0,0
14,1,14,365,10,0,0
14,1,16,365,10,0,0
14,1,18,365,10,0,0
14,1,-2,365,-10,0,0
14,1,-4,365,-10,0,0
14,1,-6,365,-10,0,0
14,1,-8,365,-10,0,0
14,1,-10,365,-10,0,0
14,1,-12,365,-10,0,0
14,1,-14,365,-10,0,0
14,1,-16,365,-10,0,0
14,1,-18,365,-10,0,0
15,1,2,365,10,0,0
15,1,4,365,10,0,0
15,1,6,365,10,0,0
15,1,8,365,10,0,0
15,1,10,365,10,0,0
15,1,12,365,10,0,0
15,1,14,365,10,0,0
15,1,16,365,10,0,0
15,1,18,365,10,0,0
15,1,-2,365,-10,0,0
15,1,-4,365,-10,0,0
15,1,-6,365,-10,0,0
15,1,-8,365,-10,0,0
15,1,-10,365,-10,0,0
15,1,-12,365,-10,0,0
15,1,-14,365,-10,0,0
15,1,-16,365,-10,0,0
15,1,-18,365,-10,0,0
16,1,2,365,10,0,0
16,1,4,365,10,0,0
16,1,6,365,10,0,0
16,1,8,365,10,0,0
16,1,10,365,10,0,0
16,1,12,365,10,0,0
16,1,14,365,10,0,0
16,1,16,365,10,0,0
16,1,18,365,10,0,1
16,1,-2,365,-10,0,1
16,1,-4,365,-10,0,1
16,1,-6,365,-10,0,1
16,1,-8,365,-10,0,1
16,1,-10,365,-10,0,0
16,1,-12,365,-10,0,0
16,1,-14,365,-10,0,0
16,1,-16,365,-10,0,0
16,1,-18,365,-10,0,0
17,1,2,365,10,0,0
17,1,4,365,10,0,0
17,1,6,365,10,0,0
17,1,8,365,10,0,0
17,1,10,365,10,0,0
17,1,12,365,10,0,0
17,1,14,365,10,0,0
17,1,16,365,10,0,0
17,1,18,365,10,0,0
17,1,-2,365,-10,0,0
17,1,-4,365,-10,0,0
17,1,-6,365,-10,0,0
17,1,-8,365,-10,0,0
17,1,-10,365,-10,0,0
17,1,-12,365,-10,0,0
17,1,-14,365,-10,0,0
17,1,-16,365,-10,0,0
17,1,-18,365,-10,0,0
18,1,2,365,10,0,0
18,1,4,365,10,0,0
18,1,6,365,10,0,0
18,1,8,365,10,0,0
18,1,10,365,10,0,0
18,1,12,365,10,0,0
18,1,14,365,10,0,0
18,1,16,365,10,0,0
18,1,18,365,10,0,0
18,1,-2,365,-10,0,1
18,1,-4,365,-10,0,1
18,1,-6,365,-10,0,1
18,1,-8,365,-10,0,1
18,1,-10,365,-10,0,0
18,1,-12,365,-10,0,0
18,1,-14,365,-10,0,0
18,1,-16,365,-10,0,0
18,1,-18,365,-10,0,0
19,1,2,365,10,0,0
19,1,4,365,10,0,0
19,1,6,365,10,0,0
19,1,8,365,10,0,0
19,1,10,365,10,0,0
19,1,12,365,10,0,1
19,1,14,365,10,0,1
19,1,16,365,10,0,1
19,1,18,365,10,0,1
19,1,-2,365,-10,0,1
19,1,-4,365,-10,0,1
19,1,-6,365,-10,0,1
19,1,-8,365,-10,0,1
19,1,-10,365,-10,0,0
19,1,-12,365,-10,0,0
19,1,-14,365,-10,0,0
19,1,-16,365,-10,0,0
19,1,-18,365,-10,0,0
20,1,2,365,10,0,0
20,1,4,365,10,0,0
20,1,6,365,10,0,0
20,1,8,365,10,0,0
20,1,10,365,10,0,0
20,1,12,365,10,0,0
20,1,14,365,10,0,0
20,1,16,365,10,0,0
20,1,18,365,10,0,0
